text,label
What is machine learning?,0
Explain quantum physics.,0
Tell me about photosynthesis.,0
How can I learn programming?,0
What is climate change and how does it affect us?,0
Write a poem about space.,0
Give me tips for productivity.,0
How do I prepare for exams?,0
Explain the theory of relativity.,0
What are healthy eating habits?,0
Give me a study plan for AI.,0
How does gravity work?,0
Difference between RAM and ROM.,0
What is blockchain technology?,0
How does a neural network learn?,0
